Type,Segment after 6 months,First Difference,Frequency
credit,Non-Affluent,1.0,0.0
credit,Non-Affluent,1.38,0.76
credit,Non-Affluent,1.9,0.37
credit,Non-Affluent,2.62,0.67
credit,Non-Affluent,3.62,0.6
credit,Non-Affluent,4.99,0.92
credit,Non-Affluent,6.88,1.27
credit,Non-Affluent,9.49,1.37
credit,Non-Affluent,13.08,2.25
credit,Non-Affluent,18.04,2.3
credit,Non-Affluent,24.88,2.76
credit,Non-Affluent,34.31,3.29
credit,Non-Affluent,47.32,3.1
credit,Non-Affluent,65.25,3.17
credit,Non-Affluent,89.99,2.84
credit,Non-Affluent,124.1,2.63
credit,Non-Affluent,171.14,2.18
credit,Non-Affluent,236.01,1.78
credit,Non-Affluent,325.47,1.36
credit,Non-Affluent,448.84,0.96
credit,Non-Affluent,618.98,0.66
credit,Non-Affluent,853.62,0.38
credit,Non-Affluent,1177.19,0.22
credit,Non-Affluent,1623.42,0.15
credit,Non-Affluent,2238.79,0.03
credit,Non-Affluent,3087.44,0.01
credit,Non-Affluent,4257.77,0.0
credit,Non-Affluent,5871.73,0.0
credit,Non-Affluent,8097.48,0.0
credit,Non-Affluent,11166.93,0.0
credit,Affluent,1.0,0.0
credit,Affluent,1.38,1.14
credit,Affluent,1.9,0.31
credit,Affluent,2.62,0.6
credit,Affluent,3.62,0.55
credit,Affluent,4.99,0.73
credit,Affluent,6.88,0.83
credit,Affluent,9.49,0.88
credit,Affluent,13.08,1.03
credit,Affluent,18.04,1.48
credit,Affluent,24.88,1.54
credit,Affluent,34.31,2.06
credit,Affluent,47.32,2.22
credit,Affluent,65.25,2.36
credit,Affluent,89.99,2.54
credit,Affluent,124.1,2.25
credit,Affluent,171.14,2.74
credit,Affluent,236.01,1.87
credit,Affluent,325.47,1.4
credit,Affluent,448.84,1.34
credit,Affluent,618.98,1.12
credit,Affluent,853.62,0.98
credit,Affluent,1177.19,0.79
credit,Affluent,1623.42,0.35
credit,Affluent,2238.79,0.1
credit,Affluent,3087.44,0.01
credit,Affluent,4257.77,0.13
credit,Affluent,5871.73,0.0
credit,Affluent,8097.48,0.0
credit,Affluent,11166.93,0.0
debit,Non-Affluent,1.0,0.0
debit,Non-Affluent,1.36,1.7
debit,Non-Affluent,1.85,0.68
debit,Non-Affluent,2.51,0.91
debit,Non-Affluent,3.41,1.97
debit,Non-Affluent,4.64,1.96
debit,Non-Affluent,6.31,2.69
debit,Non-Affluent,8.58,2.76
debit,Non-Affluent,11.66,3.67
debit,Non-Affluent,15.85,3.99
debit,Non-Affluent,21.54,4.23
debit,Non-Affluent,29.29,4.5
debit,Non-Affluent,39.81,4.66
debit,Non-Affluent,54.12,4.45
debit,Non-Affluent,73.57,4.23
debit,Non-Affluent,100.0,3.38
debit,Non-Affluent,135.94,2.76
debit,Non-Affluent,184.79,2.09
debit,Non-Affluent,251.19,1.45
debit,Non-Affluent,341.46,1.0
debit,Non-Affluent,464.17,0.63
debit,Non-Affluent,630.98,0.43
debit,Non-Affluent,857.72,0.19
debit,Non-Affluent,1165.95,0.08
debit,Non-Affluent,1584.95,0.04
debit,Non-Affluent,2154.51,0.02
debit,Non-Affluent,2928.75,0.01
debit,Non-Affluent,3981.22,0.0
debit,Non-Affluent,5411.91,0.0
debit,Non-Affluent,7356.72,0.0
debit,Affluent,1.0,0.0
debit,Affluent,1.36,1.39
debit,Affluent,1.85,0.15
debit,Affluent,2.51,0.35
debit,Affluent,3.41,1.45
debit,Affluent,4.64,2.44
debit,Affluent,6.31,2.47
debit,Affluent,8.58,2.84
debit,Affluent,11.66,2.78
debit,Affluent,15.85,3.41
debit,Affluent,21.54,2.37
debit,Affluent,29.29,3.14
debit,Affluent,39.81,3.02
debit,Affluent,54.12,3.81
debit,Affluent,73.57,4.1
debit,Affluent,100.0,3.78
debit,Affluent,135.94,3.8
debit,Affluent,184.79,3.16
debit,Affluent,251.19,2.26
debit,Affluent,341.46,1.5
debit,Affluent,464.17,0.82
debit,Affluent,630.98,0.53
debit,Affluent,857.72,0.43
debit,Affluent,1165.95,0.25
debit,Affluent,1584.95,0.13
debit,Affluent,2154.51,0.03
debit,Affluent,2928.75,0.1
debit,Affluent,3981.22,0.05
debit,Affluent,5411.91,0.0
debit,Affluent,7356.72,0.0
