Type,Segment after 6 months,Transaction Amount,Frequency
credit,Non-Affluent,0.0,0.07
credit,Non-Affluent,0.0,0.05
credit,Non-Affluent,0.0,0.2
credit,Non-Affluent,0.01,0.17
credit,Non-Affluent,0.01,0.16
credit,Non-Affluent,0.02,0.17
credit,Non-Affluent,0.04,0.12
credit,Non-Affluent,0.08,0.12
credit,Non-Affluent,0.15,0.21
credit,Non-Affluent,0.28,0.24
credit,Non-Affluent,0.55,0.0
credit,Non-Affluent,1.08,0.24
credit,Non-Affluent,2.09,0.31
credit,Non-Affluent,4.07,0.32
credit,Non-Affluent,7.92,0.51
credit,Non-Affluent,15.4,0.67
credit,Non-Affluent,29.95,1.0
credit,Non-Affluent,58.24,1.9
credit,Non-Affluent,113.28,2.61
credit,Non-Affluent,220.32,2.73
credit,Non-Affluent,428.51,2.87
credit,Non-Affluent,833.42,1.9
credit,Non-Affluent,1620.95,1.02
credit,Non-Affluent,3152.65,0.49
credit,Non-Affluent,6131.68,0.2
credit,Non-Affluent,11925.71,0.08
credit,Non-Affluent,23194.7,0.01
credit,Non-Affluent,45112.13,0.01
credit,Non-Affluent,87740.03,0.0
credit,Non-Affluent,170648.43,0.0
credit,Affluent,0.0,0.0
credit,Affluent,0.0,0.0
credit,Affluent,0.0,0.0
credit,Affluent,0.01,0.52
credit,Affluent,0.01,0.16
credit,Affluent,0.02,0.3
credit,Affluent,0.04,1.12
credit,Affluent,0.08,0.16
credit,Affluent,0.15,0.29
credit,Affluent,0.28,0.35
credit,Affluent,0.55,0.0
credit,Affluent,1.08,0.88
credit,Affluent,2.09,0.25
credit,Affluent,4.07,0.46
credit,Affluent,7.92,0.6
credit,Affluent,15.4,0.69
credit,Affluent,29.95,1.03
credit,Affluent,58.24,1.78
credit,Affluent,113.28,3.51
credit,Affluent,220.32,2.84
credit,Affluent,428.51,4.02
credit,Affluent,833.42,3.78
credit,Affluent,1620.95,4.65
credit,Affluent,3152.65,2.87
credit,Affluent,6131.68,0.96
credit,Affluent,11925.71,0.4
credit,Affluent,23194.7,0.2
credit,Affluent,45112.13,0.23
credit,Affluent,87740.03,0.0
credit,Affluent,170648.43,0.0
debit,Non-Affluent,0.0,0.0
debit,Non-Affluent,0.0,0.0
debit,Non-Affluent,0.0,0.0
debit,Non-Affluent,0.01,0.0
debit,Non-Affluent,0.01,0.0
debit,Non-Affluent,0.02,0.0
debit,Non-Affluent,0.04,0.01
debit,Non-Affluent,0.08,0.0
debit,Non-Affluent,0.15,0.03
debit,Non-Affluent,0.28,0.96
debit,Non-Affluent,0.55,0.0
debit,Non-Affluent,1.08,0.18
debit,Non-Affluent,2.09,0.24
debit,Non-Affluent,4.07,0.35
debit,Non-Affluent,7.92,0.61
debit,Non-Affluent,15.4,0.92
debit,Non-Affluent,29.95,1.39
debit,Non-Affluent,58.24,2.17
debit,Non-Affluent,113.28,2.96
debit,Non-Affluent,220.32,3.08
debit,Non-Affluent,428.52,3.09
debit,Non-Affluent,833.44,2.12
debit,Non-Affluent,1620.98,1.09
debit,Non-Affluent,3152.69,0.49
debit,Non-Affluent,6131.78,0.18
debit,Non-Affluent,11925.9,0.07
debit,Non-Affluent,23195.09,0.01
debit,Non-Affluent,45112.91,0.0
debit,Non-Affluent,87741.61,0.0
debit,Non-Affluent,170651.61,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.01,0.0
debit,Affluent,0.01,0.0
debit,Affluent,0.02,0.02
debit,Affluent,0.04,0.0
debit,Affluent,0.08,0.0
debit,Affluent,0.15,0.11
debit,Affluent,0.28,1.41
debit,Affluent,0.55,0.0
debit,Affluent,1.08,0.36
debit,Affluent,2.09,0.25
debit,Affluent,4.07,0.86
debit,Affluent,7.92,0.8
debit,Affluent,15.4,0.58
debit,Affluent,29.95,2.24
debit,Affluent,58.24,2.52
debit,Affluent,113.28,4.21
debit,Affluent,220.32,5.03
debit,Affluent,428.52,3.92
debit,Affluent,833.44,4.44
debit,Affluent,1620.98,3.57
debit,Affluent,3152.69,3.24
debit,Affluent,6131.78,1.27
debit,Affluent,11925.9,0.37
debit,Affluent,23195.09,0.19
debit,Affluent,45112.91,0.11
debit,Affluent,87741.61,0.0
debit,Affluent,170651.61,0.0
