Type,Segment after 6 months,Transaction Amount,Frequency
credit,Non-Affluent,0.0,0.69
credit,Non-Affluent,0.0,0.7
credit,Non-Affluent,0.0,0.56
credit,Non-Affluent,0.0,0.64
credit,Non-Affluent,0.01,0.57
credit,Non-Affluent,0.02,0.46
credit,Non-Affluent,0.03,0.35
credit,Non-Affluent,0.06,0.45
credit,Non-Affluent,0.12,0.29
credit,Non-Affluent,0.23,0.27
credit,Non-Affluent,0.43,0.35
credit,Non-Affluent,0.82,0.0
credit,Non-Affluent,1.56,0.45
credit,Non-Affluent,2.95,0.87
credit,Non-Affluent,5.6,1.42
credit,Non-Affluent,10.63,2.61
credit,Non-Affluent,20.17,4.55
credit,Non-Affluent,38.27,6.69
credit,Non-Affluent,72.61,7.51
credit,Non-Affluent,137.78,10.59
credit,Non-Affluent,261.43,9.97
credit,Non-Affluent,496.05,8.18
credit,Non-Affluent,941.24,4.31
credit,Non-Affluent,1785.97,2.24
credit,Non-Affluent,3388.81,1.06
credit,Non-Affluent,6430.15,0.44
credit,Non-Affluent,12200.99,0.14
credit,Non-Affluent,23150.97,0.04
credit,Non-Affluent,43928.18,0.0
credit,Non-Affluent,83352.21,0.0
credit,Affluent,0.0,0.34
credit,Affluent,0.0,0.0
credit,Affluent,0.0,0.0
credit,Affluent,0.0,0.0
credit,Affluent,0.01,0.3
credit,Affluent,0.02,0.34
credit,Affluent,0.03,0.0
credit,Affluent,0.06,0.06
credit,Affluent,0.12,0.4
credit,Affluent,0.23,0.61
credit,Affluent,0.43,0.18
credit,Affluent,0.82,0.0
credit,Affluent,1.56,0.69
credit,Affluent,2.95,0.48
credit,Affluent,5.6,0.98
credit,Affluent,10.63,2.12
credit,Affluent,20.17,3.12
credit,Affluent,38.27,4.59
credit,Affluent,72.61,4.06
credit,Affluent,137.78,5.34
credit,Affluent,261.43,8.04
credit,Affluent,496.05,11.42
credit,Affluent,941.24,8.64
credit,Affluent,1785.97,6.75
credit,Affluent,3388.81,4.06
credit,Affluent,6430.15,1.51
credit,Affluent,12200.99,0.75
credit,Affluent,23150.97,0.39
credit,Affluent,43928.18,0.0
credit,Affluent,83352.21,0.0
debit,Non-Affluent,0.0,0.0
debit,Non-Affluent,0.0,0.01
debit,Non-Affluent,0.0,0.01
debit,Non-Affluent,0.0,0.01
debit,Non-Affluent,0.01,0.01
debit,Non-Affluent,0.02,0.01
debit,Non-Affluent,0.03,0.02
debit,Non-Affluent,0.06,0.06
debit,Non-Affluent,0.11,0.06
debit,Non-Affluent,0.2,0.09
debit,Non-Affluent,0.37,0.88
debit,Non-Affluent,0.7,0.0
debit,Non-Affluent,1.31,0.63
debit,Non-Affluent,2.45,1.11
debit,Non-Affluent,4.58,1.8
debit,Non-Affluent,8.56,2.75
debit,Non-Affluent,16.02,3.98
debit,Non-Affluent,29.96,6.05
debit,Non-Affluent,56.03,8.67
debit,Non-Affluent,104.79,11.17
debit,Non-Affluent,195.99,11.92
debit,Non-Affluent,366.57,9.82
debit,Non-Affluent,685.6,6.71
debit,Non-Affluent,1282.31,3.52
debit,Non-Affluent,2398.34,1.52
debit,Non-Affluent,4485.68,0.58
debit,Non-Affluent,8389.7,0.18
debit,Non-Affluent,15691.51,0.07
debit,Non-Affluent,29348.3,0.02
debit,Non-Affluent,54891.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.0,0.0
debit,Affluent,0.01,0.0
debit,Affluent,0.02,0.0
debit,Affluent,0.03,0.0
debit,Affluent,0.06,0.0
debit,Affluent,0.11,0.0
debit,Affluent,0.2,0.21
debit,Affluent,0.37,0.5
debit,Affluent,0.7,0.0
debit,Affluent,1.31,0.46
debit,Affluent,2.45,0.66
debit,Affluent,4.58,1.37
debit,Affluent,8.56,3.06
debit,Affluent,16.02,1.73
debit,Affluent,29.96,2.07
debit,Affluent,56.03,4.4
debit,Affluent,104.79,6.39
debit,Affluent,195.99,11.01
debit,Affluent,366.57,9.25
debit,Affluent,685.6,10.46
debit,Affluent,1282.31,6.18
debit,Affluent,2398.34,4.69
debit,Affluent,4485.68,2.81
debit,Affluent,8389.7,1.44
debit,Affluent,15691.51,0.24
debit,Affluent,29348.3,0.0
debit,Affluent,54891.0,0.0
