Type,Segment after 6 months,First Difference,Frequency
credit,Non-Affluent,1.0,0.0
credit,Non-Affluent,1.48,0.33
credit,Non-Affluent,2.18,0.41
credit,Non-Affluent,3.21,0.71
credit,Non-Affluent,4.74,0.6
credit,Non-Affluent,6.99,0.95
credit,Non-Affluent,10.32,1.39
credit,Non-Affluent,15.22,1.51
credit,Non-Affluent,22.45,1.6
credit,Non-Affluent,33.13,2.31
credit,Non-Affluent,48.88,3.18
credit,Non-Affluent,72.12,2.85
credit,Non-Affluent,106.4,4.02
credit,Non-Affluent,156.99,3.73
credit,Non-Affluent,231.62,3.3
credit,Non-Affluent,341.73,3.06
credit,Non-Affluent,504.2,2.22
credit,Non-Affluent,743.9,1.44
credit,Non-Affluent,1097.55,0.91
credit,Non-Affluent,1619.34,0.64
credit,Non-Affluent,2389.19,0.41
credit,Non-Affluent,3525.03,0.23
credit,Non-Affluent,5200.86,0.14
credit,Non-Affluent,7673.4,0.07
credit,Non-Affluent,11321.41,0.04
credit,Non-Affluent,16703.71,0.02
credit,Non-Affluent,24644.81,0.01
credit,Non-Affluent,36361.19,0.0
credit,Non-Affluent,53647.63,0.0
credit,Non-Affluent,79152.21,0.0
credit,Affluent,1.0,0.0
credit,Affluent,1.48,0.1
credit,Affluent,2.18,0.33
credit,Affluent,3.21,0.22
credit,Affluent,4.74,0.38
credit,Affluent,6.99,0.78
credit,Affluent,10.32,1.2
credit,Affluent,15.22,0.89
credit,Affluent,22.45,1.09
credit,Affluent,33.13,1.42
credit,Affluent,48.88,2.61
credit,Affluent,72.12,2.44
credit,Affluent,106.4,2.38
credit,Affluent,156.99,2.91
credit,Affluent,231.62,3.43
credit,Affluent,341.73,3.69
credit,Affluent,504.2,4.11
credit,Affluent,743.9,3.48
credit,Affluent,1097.55,2.93
credit,Affluent,1619.34,1.98
credit,Affluent,2389.19,1.48
credit,Affluent,3525.03,0.47
credit,Affluent,5200.86,0.36
credit,Affluent,7673.4,0.27
credit,Affluent,11321.41,0.31
credit,Affluent,16703.71,0.19
credit,Affluent,24644.81,0.15
credit,Affluent,36361.19,0.0
credit,Affluent,53647.63,0.0
credit,Affluent,79152.21,0.0
debit,Non-Affluent,1.0,0.0
debit,Non-Affluent,1.45,0.39
debit,Non-Affluent,2.11,0.56
debit,Non-Affluent,3.07,0.82
debit,Non-Affluent,4.46,0.81
debit,Non-Affluent,6.49,1.33
debit,Non-Affluent,9.43,1.22
debit,Non-Affluent,13.71,1.83
debit,Non-Affluent,19.93,2.18
debit,Non-Affluent,28.98,2.65
debit,Non-Affluent,42.12,2.89
debit,Non-Affluent,61.23,3.68
debit,Non-Affluent,89.0,3.58
debit,Non-Affluent,129.37,4.0
debit,Non-Affluent,188.05,3.84
debit,Non-Affluent,273.36,3.59
debit,Non-Affluent,397.35,2.85
debit,Non-Affluent,577.6,2.4
debit,Non-Affluent,839.6,1.62
debit,Non-Affluent,1220.46,1.06
debit,Non-Affluent,1774.07,0.59
debit,Non-Affluent,2578.82,0.34
debit,Non-Affluent,3748.6,0.15
debit,Non-Affluent,5449.01,0.07
debit,Non-Affluent,7920.75,0.02
debit,Non-Affluent,11513.69,0.01
debit,Non-Affluent,16736.45,0.0
debit,Non-Affluent,24328.3,0.0
debit,Non-Affluent,35363.92,0.0
debit,Non-Affluent,51405.43,0.0
debit,Affluent,1.0,0.0
debit,Affluent,1.45,0.11
debit,Affluent,2.11,0.41
debit,Affluent,3.07,0.35
debit,Affluent,4.46,0.35
debit,Affluent,6.49,0.69
debit,Affluent,9.43,1.2
debit,Affluent,13.71,1.32
debit,Affluent,19.93,1.22
debit,Affluent,28.98,1.42
debit,Affluent,42.12,1.25
debit,Affluent,61.23,2.09
debit,Affluent,89.0,2.43
debit,Affluent,129.37,3.02
debit,Affluent,188.05,3.72
debit,Affluent,273.36,4.0
debit,Affluent,397.35,2.9
debit,Affluent,577.6,3.92
debit,Affluent,839.6,2.07
debit,Affluent,1220.46,1.69
debit,Affluent,1774.07,1.45
debit,Affluent,2578.82,1.23
debit,Affluent,3748.6,0.74
debit,Affluent,5449.01,0.77
debit,Affluent,7920.75,0.14
debit,Affluent,11513.69,0.02
debit,Affluent,16736.45,0.1
debit,Affluent,24328.3,0.0
debit,Affluent,35363.92,0.0
debit,Affluent,51405.43,0.0
